VariantID,Country,first_seq,last_seq,variant,total_cases,total_deaths
274,Czech Republic,1/4/2021,9/6/2021,S.N501,136096.9996,2462.172163
275,Colombia,1/4/2021,11/3/2021,S.N501,770921.93,19612.16174
276,Ecuador,1/5/2021,11/17/2021,S.N501,44153.78746,2796.103331
277,Cameroon,1/5/2021,9/17/2021,S.N501,1590.154255,25.46808511
278,Hungary,1/6/2021,2/26/2021,S.N501,19464.50415,686.9983416
279,Morocco,1/8/2021,9/2/2021,S.N501,71478.98062,1050.367401
280,Niger,1/9/2021,1/9/2021,S.N501,149.7647059,4.941176471
281,Panama,1/11/2021,4/30/2021,S.N501,53284.18462,910.8307692
282,Equatorial Guinea,1/12/2021,8/27/2021,S.N501,1219.371601,16.35045317
283,Trinidad and Tobago,1/12/2021,10/20/2021,S.N501,8296.440293,246.2063547
284,Latvia,1/12/2021,7/6/2021,S.N501,20104.14146,369.5276076
285,Belize,1/12/2021,8/9/2021,S.N501,1041.594828,24.42528736
286,Montenegro,1/17/2021,8/5/2021,S.N501,6603.719595,104.9493243
287,Guyana,1/18/2021,9/7/2021,S.N501,642.528,15.696
288,Croatia,1/20/2021,8/27/2021,S.N501,36436.93258,814.2582866
289,Central African Republic,1/20/2021,3/17/2021,S.N501,194.0229885,2.413793103
290,Liechtenstein,1/21/2021,6/10/2021,S.N501,129.75,2.416666667
291,Congo (Kinshasa),1/22/2021,6/20/2021,S.N501,2088.287791,48.5494186
292,Moldova,1/27/2021,6/24/2021,S.N501,34184.93333,824
293,Vietnam,1/30/2021,9/2/2021,S.N501,1109.176921,27.66065879
294,Benin,1/30/2021,6/3/2021,S.N501,329.2931798,4.155890168
295,Azerbaijan,2/1/2021,2/7/2021,S.N501,27738.48,378.96
296,Lithuania,2/2/2021,10/5/2021,S.N501,34310.21432,516.146367
297,Tunisia,2/2/2021,5/28/2021,S.N501,28948.31746,1059.301587
298,Cambodia,2/3/2021,10/30/2021,S.N501,13185.65308,309.6363262
299,Monaco,2/4/2021,4/17/2021,S.N501,35.88014981,0.464419476
300,Bolivia,2/6/2021,6/2/2021,S.N501,49800.09581,1940.742515
301,Costa Rica,2/10/2021,9/30/2021,S.N501,49475.14265,593.6812592
302,Djibouti,2/12/2021,5/7/2021,S.N501,1466.806742,19.17902622
303,Paraguay,2/13/2021,8/14/2021,S.N501,44498.08051,1502.79661
304,Bahrain,2/14/2021,11/11/2021,S.N501,3252.466422,16.34652905
305,Antigua and Barbuda,2/14/2021,7/25/2021,S.N501,97.10344828,3.262068966
306,Ukraine,2/18/2021,10/28/2021,S.N501,253816.2438,5993.621545
307,Suriname,2/18/2021,9/14/2021,S.N501,4640.727644,103.5679322
308,Belarus,2/23/2021,2/24/2021,S.N501,26410.03125,181.78125
309,Uruguay,2/23/2021,4/14/2021,S.N501,13449.19256,145.6438017
310,Congo (Brazzaville),2/25/2021,11/21/2021,S.N501,859.3471445,15.5643897
311,Somalia,2/28/2021,3/5/2021,S.N501,1349.21875,47.09375
312,Fiji,2/28/2021,4/12/2021,S.N501,0.089473684,0.002631579
313,Kazakhstan,3/2/2021,4/27/2021,S.N501,50143.52968,897.1465064
314,Guatemala,3/11/2021,8/3/2021,S.N501,14604.17514,410.3921703
315,Grenada,3/12/2021,6/24/2021,S.N501,17.25,0.107142857
316,Namibia,3/17/2021,6/17/2021,S.N501,7247.864979,114.4367089
317,Armenia,3/18/2021,6/26/2021,S.N501,12275.05882,246.1260504
318,Bahamas,3/18/2021,8/7/2021,S.N501,1927.375,36.875
319,Afghanistan,3/21/2021,5/29/2021,S.N501,9644.899471,398.8042328
320,Malta,3/25/2021,6/28/2021,S.N501,4145.966605,56.88311688
321,South Sudan,3/31/2021,4/29/2021,S.N501,107.0075949,1.15443038
322,Papua New Guinea,3/31/2021,3/31/2021,S.N501,2.409895414,0.024135157
323,Liberia,3/31/2021,5/20/2021,S.N501,68.43450479,2.715654952
324,Algeria,4/12/2021,7/28/2021,S.N501,12456.96894,310.136646
325,Nepal,4/14/2021,6/2/2021,S.N501,1709.913174,22.61976048
326,Honduras,4/23/2021,5/19/2021,S.N501,3472.893939,91.68181818
327,El Salvador,4/29/2021,8/2/2021,S.N501,3820.873362,115.7641921
328,Haiti,5/7/2021,8/7/2021,S.N501,2725.93586,75.50437318
329,Burundi,5/27/2021,5/31/2021,S.N501,127.7333333,0.16
330,Libya,6/5/2021,6/5/2021,S.N501,2596.569444,43.56944444
331,Andorra,6/7/2021,7/19/2021,S.N501,1001.790698,8.860465116
332,Uzbekistan,6/25/2021,6/25/2021,S.N501,3844.101523,25.76142132
333,Saint Vincent and the Grenadines,9/20/2021,9/27/2021,S.N501,497.6296296,2.666666667
334,China,10/22/2019,4/17/2021,S.L18,53941.31288,2358.09816
335,Georgia,2/24/2020,8/31/2021,S.L18,9670.042714,130.2914573
336,UK,2/27/2020,11/24/2021,S.L18,1824261.318,26326.73521
337,Iceland,2/27/2020,8/14/2021,S.L18,27.30536722,0.086610384
338,Brazil,3/1/2020,11/3/2021,S.L18,2903282.443,80888.55867
339,India,3/1/2020,10/22/2021,S.L18,121883.8135,1618.8633
340,Australia,3/10/2020,11/3/2021,S.L18,1205.2431,12.20921071
341,USA,3/12/2020,11/22/2021,S.L18,363557.3608,5843.976759
342,New Zealand,3/16/2020,5/31/2021,S.L18,9.163995565,0.089103921
343,Spain,3/17/2020,11/19/2021,S.L18,56620.89891,978.589041
344,Luxembourg,3/22/2020,11/4/2021,S.L18,2680.483458,27.54354666
345,Switzerland,3/24/2020,11/18/2021,S.L18,2674.520551,32.50451747
346,Guinea,3/31/2020,4/27/2021,S.L18,702.1019108,4.49044586
347,Czech Republic,4/1/2020,10/29/2021,S.L18,5044.957834,88.41200163
348,Canada,4/3/2020,11/7/2021,S.L18,916860.4178,15447.47095
349,Finland,4/4/2020,8/17/2021,S.L18,1157.431037,9.994567648
350,Qatar,4/5/2020,8/27/2021,S.L18,374.7540719,0.972405438
351,Ireland,4/6/2020,10/28/2021,S.L18,1684.944543,20.90585892
352,Italy,4/13/2020,11/16/2021,S.L18,49113.90815,1339.379056
353,Madagascar,4/14/2020,4/26/2021,S.L18,5767.2,96.8
354,Cyprus,4/17/2020,1/22/2021,S.L18,768.3319149,4.570212766
355,Belgium,4/18/2020,11/20/2021,S.L18,18366.23217,308.5387647
